Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 800/5005 | loss 2.7800 | acc 39.5% | 219s elapsed | eta 1153s
  step 900/5005 | loss 2.7820 | acc 39.5% | 246s elapsed | eta 1121s
  step 1000/5005 | loss 2.7846 | acc 39.4% | 283s elapsed | eta 1132s
  step 1100/5005 | loss 2.7890 | acc 39.4% | 317s elapsed | eta 1127s
  step 1200/5005 | loss 2.7909 | acc 39.3% | 344s elapsed | eta 1091s
  step 1300/5005 | loss 2.7907 | acc 39.3% | 368s elapsed | eta 1049s
  step 1400/5005 | loss 2.7892 | acc 39.4% | 391s elapsed | eta 1008s
  step 1500/5005 | loss 2.7899 | acc 39.3% | 424s elapsed | eta 990s
  step 1600/5005 | loss 2.7927 | acc 39.3% | 458s elapsed | eta 974s
  step 1700/5005 | loss 2.7940 | acc 39.2% | 492s elapsed | eta 956s
  step 1800/5005 | loss 2.7946 | acc 39.3% | 515s elapsed | eta 917s
  step 1900/5005 | loss 2.7955 | acc 39.3% | 540s elapsed | eta 883s
  step 2000/5005 | loss 2.7950 | acc 39.3% | 563s elapsed | eta 846s
  step 2100/5005 | loss 2.7954 | acc 39.3% | 586s elapsed | eta 810s
  step 2200/5005 | loss 2.7945 | acc 39.3% | 610s elapsed | eta 778s
  step 2300/5005 | loss 2.7963 | acc 39.2% | 632s elapsed | eta 743s
  step 2400/5005 | loss 2.7974 | acc 39.2% | 656s elapsed | eta 712s
  step 2500/5005 | loss 2.7984 | acc 39.2% | 678s elapsed | eta 680s
  step 2600/5005 | loss 2.7999 | acc 39.2% | 701s elapsed | eta 648s
  step 2700/5005 | loss 2.7997 | acc 39.2% | 724s elapsed | eta 618s
  step 2800/5005 | loss 2.7988 | acc 39.2% | 747s elapsed | eta 588s
  step 2900/5005 | loss 2.7986 | acc 39.2% | 771s elapsed | eta 559s
  step 3000/5005 | loss 2.7987 | acc 39.2% | 795s elapsed | eta 531s
  step 3100/5005 | loss 2.8005 | acc 39.2% | 817s elapsed | eta 502s
  step 3200/5005 | loss 2.8001 | acc 39.2% | 841s elapsed | eta 474s
  step 3300/5005 | loss 2.8002 | acc 39.2% | 862s elapsed | eta 446s
  step 3400/5005 | loss 2.8002 | acc 39.2% | 885s elapsed | eta 418s
  step 3500/5005 | loss 2.8004 | acc 39.2% | 909s elapsed | eta 391s
  step 3600/5005 | loss 2.7999 | acc 39.2% | 934s elapsed | eta 365s
  step 3700/5005 | loss 2.8009 | acc 39.2% | 955s elapsed | eta 337s
  step 3800/5005 | loss 2.7998 | acc 39.2% | 979s elapsed | eta 311s
  step 3900/5005 | loss 2.8002 | acc 39.2% | 1001s elapsed | eta 284s
  step 4000/5005 | loss 2.8011 | acc 39.2% | 1023s elapsed | eta 257s
  step 4100/5005 | loss 2.8009 | acc 39.2% | 1044s elapsed | eta 230s
  step 4200/5005 | loss 2.8008 | acc 39.2% | 1065s elapsed | eta 204s
  step 4300/5005 | loss 2.8014 | acc 39.2% | 1088s elapsed | eta 178s
  step 4400/5005 | loss 2.8013 | acc 39.2% | 1111s elapsed | eta 153s
  step 4500/5005 | loss 2.8016 | acc 39.2% | 1132s elapsed | eta 127s
  step 4600/5005 | loss 2.8011 | acc 39.2% | 1156s elapsed | eta 102s
  step 4700/5005 | loss 2.8018 | acc 39.2% | 1177s elapsed | eta 76s
  step 4800/5005 | loss 2.8026 | acc 39.2% | 1198s elapsed | eta 51s
  step 4900/5005 | loss 2.8018 | acc 39.2% | 1222s elapsed | eta 26s
  step 5000/5005 | loss 2.8024 | acc 39.2% | 1245s elapsed | eta 1s
Ep   6 | loss 2.8023 | task 2.8023 | cons 0.0000 | train 39.2% | test 36.1% | 1271s
  step 100/5005 | loss 2.6256 | acc 42.2% | 22s elapsed | eta 1080s
  step 200/5005 | loss 2.6172 | acc 42.3% | 45s elapsed | eta 1080s
  step 300/5005 | loss 2.6189 | acc 42.3% | 67s elapsed | eta 1043s
  step 400/5005 | loss 2.6149 | acc 42.3% | 90s elapsed | eta 1031s
  step 500/5005 | loss 2.6175 | acc 42.3% | 113s elapsed | eta 1016s
  step 600/5005 | loss 2.6149 | acc 42.3% | 136s elapsed | eta 995s
  step 700/5005 | loss 2.6193 | acc 42.3% | 158s elapsed | eta 969s
  step 800/5005 | loss 2.6243 | acc 42.2% | 180s elapsed | eta 947s
  step 900/5005 | loss 2.6290 | acc 42.1% | 204s elapsed | eta 931s
  step 1000/5005 | loss 2.6301 | acc 42.1% | 225s elapsed | eta 902s
  step 1100/5005 | loss 2.6307 | acc 42.0% | 249s elapsed | eta 883s
  step 1200/5005 | loss 2.6294 | acc 42.1% | 272s elapsed | eta 864s
  step 1300/5005 | loss 2.6299 | acc 42.0% | 297s elapsed | eta 845s
  step 1400/5005 | loss 2.6329 | acc 42.0% | 318s elapsed | eta 819s
  step 1500/5005 | loss 2.6355 | acc 41.9% | 341s elapsed | eta 796s
  step 1600/5005 | loss 2.6349 | acc 42.0% | 365s elapsed | eta 776s
  step 1700/5005 | loss 2.6371 | acc 41.9% | 387s elapsed | eta 752s
  step 1800/5005 | loss 2.6376 | acc 41.9% | 411s elapsed | eta 731s
  step 1900/5005 | loss 2.6403 | acc 41.9% | 432s elapsed | eta 707s
  step 2000/5005 | loss 2.6401 | acc 41.9% | 457s elapsed | eta 687s
